"APT_ICAO","flights","delays","dly_flt"
"EGPD",25569,317,0.0123978254918065
"LQSA",6458,76,0.0117683493341592
"LEAM",4711,52,0.0110379961791552
"LROP",61446,611,0.00994369039481821
"LFBP",5886,55,0.00934420659191301
"EGAA",25730,131,0.00509133307423241
"LTBJ",38517,160,0.00415400991769868
"EDDN",24749,91,0.00367691623903996
"GCTS",34302,124,0.003614949565623
"ENZV",33083,90,0.00272043043254844
"LIMF",19593,51,0.00260297044862961
"EPBY",2218,5,0.00225428313796213
"EPPO",11555,25,0.00216356555603635
"LFTW",2344,5,0.00213310580204778
"LEMH",15596,24,0.00153885611695306
"EDDV",32345,41,0.00126758386149328
"LFBI",2539,3,0.00118156754627806
"LFRN",9045,6,0.00066334991708126
"EVRA",43324,16,0.00036931031299049
"LEVC",36225,11,0.000303657694962043
"LEBB",24508,2,8.16060062020565e-05
"EBAW",6587,0,0
"EBOS",3564,0,0
"EDDC",10291,0,0
"EDDE",2358,0,0
"EDDG",9525,0,0
"EDDR",4028,0,0
"EETN",21949,0,0
"EETU",811,0,0
"EGAE",1735,0,0
"EGKB",8628,0,0
"EHGG",5322,0,0
"EHLE",1413,0,0
"EHRD",12805,0,0
"EICK",13505,0,0
"EIDL",951,0,0
"EIKN",3363,0,0
"EIKY",2379,0,0
"EISG",16,0,0
"EIWF",178,0,0
"EIWT",490,0,0
"ENHD",3118,0,0
"ENVA",26941,0,0
"EPGD",22550,0,0
"EPLB",1660,0,0
"EPLL",1887,0,0
"EPRA",70,0,0
"EPRZ",4327,0,0
"EPSC",3006,0,0
"EPSY",857,0,0
"EPWR",15603,0,0
"EPZG",570,0,0
"EVJA",6,0,0
"EVLA",439,0,0
"EVVA",7,0,0
"EYKA",4791,0,0
"EYPA",2136,0,0
"EYSA",1367,0,0
"EYVI",23401,0,0
"GCGM",924,0,0
"GCHI",2466,0,0
"GCLA",11001,0,0
"GEML",4613,0,0
"GMAD",8468,0,0
"GMFF",6019,0,0
"GMME",6695,0,0
"GMMX",24563,0,0
"GMTT",6932,0,0
"LATI",14252,0,0
"LDZA",22155,0,0
"LDZL",434,0,0
"LEAB",381,0,0
"LEAS",6329,0,0
"LEBA",215,0,0
"LEBG",301,0,0
"LEBZ",1144,0,0
"LECO",5906,0,0
"LECU",1395,0,0
"LEDA",1484,0,0
"LEGE",8203,0,0
"LEGR",5783,0,0
"LEGT",803,0,0
"LEIZ",117,0,0
"LEJR",7528,0,0
"LELC",236,0,0
"LELL",810,0,0
"LELN",699,0,0
"LEMO",2552,0,0
"LEPP",2054,0,0
"LERE",20,0,0
"LERJ",339,0,0
"LERT",2162,0,0
"LESA",1822,0,0
"LESB",269,0,0
"LESO",2798,0,0
"LEST",10509,0,0
"LETO",817,0,0
"LEVD",1498,0,0
"LEVT",4727,0,0
"LEVX",4905,0,0
"LEXJ",4578,0,0
"LEZG",4255,0,0
"LFAQ",653,0,0
"LFBA",1949,0,0
"LFBE",2231,0,0
"LFBT",3495,0,0
"LFCR",1995,0,0
"LFGJ",1495,0,0
"LFJL",3249,0,0
"LFLX",1173,0,0
"LFMH",860,0,0
"LFMI",1186,0,0
"LFMK",2954,0,0
"LFMT",14726,0,0
"LFMU",3380,0,0
"LFOH",424,0,0
"LFRD",1398,0,0
"LFRG",1880,0,0
"LFRH",3310,0,0
"LFRK",3455,0,0
"LFRO",222,0,0
"LFRQ",1224,0,0
"LFRZ",1312,0,0
"LFSL",1626,0,0
"LGSK",2104,0,0
"LIBR",9966,0,0
"LJLJ",13963,0,0
"LJMB",1038,0,0
"LKKV",818,0,0
"LKMT",2893,0,0
"LKTB",4516,0,0
"LMML",28895,0,0
"LOWG",9685,0,0
"LOWK",3293,0,0
"LOWL",6136,0,0
"LPAZ",1309,0,0
"LPCS",2756,0,0
"LPFL",883,0,0
"LPHR",2311,0,0
"LPMA",11947,0,0
"LPMT",129,0,0
"LPPD",10415,0,0
"LPPS",1273,0,0
"LRBS",3095,0,0
"LUKK",13697,0,0
"LWSK",9425,0,0
"LYBE",35488,0,0
"LYPG",7282,0,0
"LZIB",11321,0,0
"UDYZ",12777,0,0
"UGTB",18083,0,0
