"YEAR","MONTH_NUM","FLT_DATE","FLT_ERT_1"
"2011",6,2011-06-22,31599
"2011",6,2011-06-23,31379
"2011",6,2011-06-24,31174
"2011",6,2011-06-25,26646
"2011",6,2011-06-26,28840
"2011",6,2011-06-27,31636
"2011",6,2011-06-28,30898
"2011",6,2011-06-29,31139
"2011",6,2011-06-30,32685
"2011",7,2011-07-01,33438
"2011",7,2011-07-02,27570
"2011",7,2011-07-03,29014
"2011",7,2011-07-04,31338
"2011",7,2011-07-05,30899
"2011",7,2011-07-06,31201
"2011",7,2011-07-07,31804
"2011",7,2011-07-08,32700
"2011",7,2011-07-09,27530
"2011",7,2011-07-10,28934
"2011",7,2011-07-11,30895
"2011",7,2011-07-12,30462
"2011",7,2011-07-13,30766
"2011",7,2011-07-14,30687
"2011",7,2011-07-15,31825
"2011",7,2011-07-16,27477
"2011",7,2011-07-17,28732
"2011",7,2011-07-18,30789
"2011",7,2011-07-19,30130
"2011",7,2011-07-20,30768
"2011",7,2011-07-21,31284
"2011",7,2011-07-22,32077
"2011",7,2011-07-23,27678
"2011",7,2011-07-24,28790
"2011",7,2011-07-25,30641
"2011",7,2011-07-26,30274
"2011",7,2011-07-27,30622
"2011",7,2011-07-28,31332
"2011",7,2011-07-29,32127
"2011",7,2011-07-30,28170
"2011",7,2011-07-31,29051
"2011",8,2011-08-01,30450
"2011",8,2011-08-02,29518
"2011",8,2011-08-03,29556
"2011",8,2011-08-04,30059
"2011",8,2011-08-05,31176
"2011",8,2011-08-06,27458
"2011",8,2011-08-07,28374
"2011",8,2011-08-08,29751
"2011",8,2011-08-09,29145
"2011",8,2011-08-10,29942
"2011",8,2011-08-11,30261
"2011",8,2011-08-12,31300
"2011",8,2011-08-13,27350
"2011",8,2011-08-14,28321
"2011",8,2011-08-15,29555
"2011",8,2011-08-16,29850
"2011",8,2011-08-17,30281
"2011",8,2011-08-18,30585
"2011",8,2011-08-19,31322
"2011",8,2011-08-20,27471
"2011",8,2011-08-21,28751
"2011",8,2011-08-22,30837
"2011",8,2011-08-23,30235
"2011",8,2011-08-24,30705
"2011",8,2011-08-25,31394
"2011",8,2011-08-26,31795
"2011",8,2011-08-27,27480
"2011",8,2011-08-28,28669
"2011",8,2011-08-29,31397
"2011",8,2011-08-30,31248
"2011",8,2011-08-31,31883
"2011",9,2011-09-01,31994
"2011",9,2011-09-02,32743
"2011",9,2011-09-03,27458
"2011",9,2011-09-04,29123
"2011",9,2011-09-05,31666
"2011",9,2011-09-06,30462
"2011",9,2011-09-07,31588
"2011",9,2011-09-08,31882
"2011",9,2011-09-09,32787
"2011",9,2011-09-10,26957
"2011",9,2011-09-11,28516
"2011",9,2011-09-12,31331
"2011",9,2011-09-13,30557
"2011",9,2011-09-14,31499
"2011",9,2011-09-15,32396
"2011",9,2011-09-16,32802
"2011",9,2011-09-17,26177
"2011",9,2011-09-18,28042
"2011",9,2011-09-19,31047
"2011",9,2011-09-20,30779
"2011",9,2011-09-21,31359
"2011",9,2011-09-22,31623
"2011",9,2011-09-23,32116
"2011",9,2011-09-24,25777
"2011",9,2011-09-25,27705
"2011",9,2011-09-26,31207
"2011",9,2011-09-27,30442
"2011",9,2011-09-28,30966
"2011",9,2011-09-29,31335
"2011",9,2011-09-30,32146
"2011",10,2011-10-01,25056
"2011",10,2011-10-02,27029
"2011",10,2011-10-03,29845
"2011",10,2011-10-04,29418
"2011",10,2011-10-05,29092
"2011",10,2011-10-06,30478
"2011",10,2011-10-07,30596
"2011",10,2011-10-08,23913
"2011",10,2011-10-09,26131
"2011",10,2011-10-10,29448
"2011",10,2011-10-11,28854
"2011",10,2011-10-12,29282
"2011",10,2011-10-13,29948
"2011",10,2011-10-14,30617
"2011",10,2011-10-15,23891
"2011",10,2011-10-16,26073
"2011",10,2011-10-17,29456
"2011",10,2011-10-18,28656
"2011",10,2011-10-19,28611
"2011",10,2011-10-20,29870
"2011",10,2011-10-21,30595
"2011",10,2011-10-22,24031
"2011",10,2011-10-23,25825
"2011",10,2011-10-24,28896
"2011",10,2011-10-25,28353
"2011",10,2011-10-26,28787
"2011",10,2011-10-27,29265
"2011",10,2011-10-28,30090
"2011",10,2011-10-29,23589
"2011",10,2011-10-30,23710
"2011",10,2011-10-31,25442
"2011",11,2011-11-01,24299
"2011",11,2011-11-02,26276
"2011",11,2011-11-03,26811
"2011",11,2011-11-04,27516
"2011",11,2011-11-05,20328
"2011",11,2011-11-06,23159
"2011",11,2011-11-07,26243
"2011",11,2011-11-08,25285
"2011",11,2011-11-09,26257
"2011",11,2011-11-10,26716
"2011",11,2011-11-11,26480
"2011",11,2011-11-12,19198
"2011",11,2011-11-13,22584
"2011",11,2011-11-14,25860
"2011",11,2011-11-15,25332
"2011",11,2011-11-16,26397
"2011",11,2011-11-17,26417
"2011",11,2011-11-18,27089
"2011",11,2011-11-19,19130
"2011",11,2011-11-20,21785
"2011",11,2011-11-21,25721
"2011",11,2011-11-22,25019
"2011",11,2011-11-23,25736
"2011",11,2011-11-24,25667
"2011",11,2011-11-25,26681
"2011",11,2011-11-26,18878
"2011",11,2011-11-27,21756
"2011",11,2011-11-28,26183
"2011",11,2011-11-29,24969
"2011",11,2011-11-30,25875
"2011",12,2011-12-01,26007
"2011",12,2011-12-02,26958
"2011",12,2011-12-03,18684
"2011",12,2011-12-04,21460
"2011",12,2011-12-05,25170
"2011",12,2011-12-06,24162
"2011",12,2011-12-07,25238
"2011",12,2011-12-08,25335
"2011",12,2011-12-09,25791
"2011",12,2011-12-10,18819
"2011",12,2011-12-11,21867
"2011",12,2011-12-12,25436
"2011",12,2011-12-13,24226
"2011",12,2011-12-14,25312
"2011",12,2011-12-15,26057
"2011",12,2011-12-16,26043
"2011",12,2011-12-17,19424
"2011",12,2011-12-18,21560
"2011",12,2011-12-19,24983
"2011",12,2011-12-20,24382
"2011",12,2011-12-21,25019
"2011",12,2011-12-22,25572
"2011",12,2011-12-23,25460
"2011",12,2011-12-24,15909
"2011",12,2011-12-25,11644
"2011",12,2011-12-26,19081
"2011",12,2011-12-27,21378
"2011",12,2011-12-28,21813
"2011",12,2011-12-29,21903
"2011",12,2011-12-30,22707
"2011",12,2011-12-31,14902
"2012",1,2012-01-01,17193
"2012",1,2012-01-02,23790
"2012",1,2012-01-03,22197
"2012",1,2012-01-04,22897
"2012",1,2012-01-05,21984
"2012",1,2012-01-06,22464
"2012",1,2012-01-07,18808
"2012",1,2012-01-08,21884
"2012",1,2012-01-09,24998
"2012",1,2012-01-10,23608
"2012",1,2012-01-11,23929
"2012",1,2012-01-12,24538
"2012",1,2012-01-13,25054
"2012",1,2012-01-14,18594
"2012",1,2012-01-15,21111
"2012",1,2012-01-16,24305
"2012",1,2012-01-17,23300
